"participantid","pstotal","condition","time"
"ID_1",2.8,0,0
"ID_1",2.73333333333333,0,1
"ID_1",2.56666666666667,0,2
"ID_4",2.3,0,0
"ID_4",2.3,0,1
"ID_4",2.46666666666667,0,2
"ID_7",3.46666666666667,0,0
"ID_7",NA,0,1
"ID_7",NA,0,2
"ID_8",3.36666666666667,0,0
"ID_8",3.5,0,1
"ID_8",3.43333333333333,0,2
"ID_10",2.7,0,0
"ID_10",2.83333333333333,0,1
"ID_10",2.63333333333333,0,2
"ID_11",2.73333333333333,0,0
"ID_11",3.33333333333333,0,1
"ID_11",3.76666666666667,0,2
"ID_12",2.6,0,0
"ID_12",2.9,0,1
"ID_12",3.23333333333333,0,2
"ID_16",2.43333333333333,0,0
"ID_16",2.56666666666667,0,1
"ID_16",2.76666666666667,0,2
"ID_19",2.93333333333333,0,0
"ID_19",2.93333333333333,0,1
"ID_19",3.36666666666667,0,2
"ID_20",2.53333333333333,0,0
"ID_20",2.76666666666667,0,1
"ID_20",2.66666666666667,0,2
"ID_22",3.23333333333333,0,0
"ID_22",3.33333333333333,0,1
"ID_22",3.4,0,2
"ID_25",3.66666666666667,0,0
"ID_25",4.2,0,1
"ID_25",NA,0,2
"ID_28",3.2,0,0
"ID_28",NA,0,1
"ID_28",NA,0,2
"ID_29",2.73333333333333,0,0
"ID_29",2.83333333333333,0,1
"ID_29",3.06666666666667,0,2
"ID_30",2.53333333333333,0,0
"ID_30",2.96666666666667,0,1
"ID_30",2.33333333333333,0,2
"ID_31",3.36666666666667,0,0
"ID_31",4.13333333333333,0,1
"ID_31",3.86666666666667,0,2
"ID_32",3.2,0,0
"ID_32",3.3,0,1
"ID_32",3,0,2
"ID_33",2.23333333333333,0,0
"ID_33",2.6,0,1
"ID_33",2.4,0,2
"ID_35",1.63333333333333,0,0
"ID_35",2.1,0,1
"ID_35",2.36666666666667,0,2
"ID_37",2.1,0,0
"ID_37",2.96666666666667,0,1
"ID_37",NA,0,2
"ID_39",2.06666666666667,0,0
"ID_39",2.6,0,1
"ID_39",2.66666666666667,0,2
"ID_45",3.26666666666667,0,0
"ID_45",3.46666666666667,0,1
"ID_45",2.83333333333333,0,2
"ID_46",3.46666666666667,0,0
"ID_46",3.63333333333333,0,1
"ID_46",3.66666666666667,0,2
"ID_48",3.4,0,0
"ID_48",3.13333333333333,0,1
"ID_48",3.46666666666667,0,2
"ID_50",2.63333333333333,0,0
"ID_50",3,0,1
"ID_50",3.56666666666667,0,2
"ID_51",3.56666666666667,0,0
"ID_51",3.56666666666667,0,1
"ID_51",3.56666666666667,0,2
"ID_53",4.1,0,0
"ID_53",4,0,1
"ID_53",4.3,0,2
"ID_56",2.46666666666667,0,0
"ID_56",3.1,0,1
"ID_56",3.06666666666667,0,2
"ID_59",3.16666666666667,0,0
"ID_59",3.83333333333333,0,1
"ID_59",3.7,0,2
"ID_62",2.4,0,0
"ID_62",2.53333333333333,0,1
"ID_62",NA,0,2
"ID_63",3.6,0,0
"ID_63",4,0,1
"ID_63",3.8,0,2
"ID_65",3.66666666666667,0,0
"ID_65",4.03333333333333,0,1
"ID_65",4.03333333333333,0,2
"ID_66",2.56666666666667,0,0
"ID_66",2.36666666666667,0,1
"ID_66",NA,0,2
"ID_67",2.83333333333333,0,0
"ID_67",3.2,0,1
"ID_67",3.13333333333333,0,2
"ID_69",2.16666666666667,0,0
"ID_69",2.23333333333333,0,1
"ID_69",2.16666666666667,0,2
"ID_73",3.86666666666667,0,0
"ID_73",4.36666666666667,0,1
"ID_73",4.3,0,2
"ID_74",2.3,0,0
"ID_74",2.7,0,1
"ID_74",2.56666666666667,0,2
"ID_75",3.36666666666667,0,0
"ID_75",3.36666666666667,0,1
"ID_75",3.3,0,2
"ID_76",2.3,0,0
"ID_76",2.06666666666667,0,1
"ID_76",2.46666666666667,0,2
"ID_82",3.33333333333333,0,0
"ID_82",3.1,0,1
"ID_82",NA,0,2
"ID_84",2.33333333333333,0,0
"ID_84",2.33333333333333,0,1
"ID_84",2.2,0,2
"ID_85",2.1,0,0
"ID_85",NA,0,1
"ID_85",NA,0,2
"ID_86",2.86666666666667,0,0
"ID_86",2.96666666666667,0,1
"ID_86",3.16666666666667,0,2
"ID_90",2.73333333333333,0,0
"ID_90",NA,0,1
"ID_90",NA,0,2
"ID_93",3.56666666666667,0,0
"ID_93",3.33333333333333,0,1
"ID_93",2.66666666666667,0,2
"ID_94",3.1,0,0
"ID_94",3.23333333333333,0,1
"ID_94",3.66666666666667,0,2
"ID_95",2.63333333333333,0,0
"ID_95",3.4,0,1
"ID_95",2.83333333333333,0,2
"ID_96",2.23333333333333,0,0
"ID_96",2.66666666666667,0,1
"ID_96",2.23333333333333,0,2
"ID_97",3.06666666666667,0,0
"ID_97",3.16666666666667,0,1
"ID_97",3.23333333333333,0,2
"ID_100",3.63333333333333,0,0
"ID_100",3,0,1
"ID_100",NA,0,2
"ID_101",3.23333333333333,0,0
"ID_101",1.16666666666667,0,1
"ID_101",3.16666666666667,0,2
"ID_103",3.46666666666667,0,0
"ID_103",4.06666666666667,0,1
"ID_103",4.06666666666667,0,2
"ID_104",3.3,0,0
"ID_104",3.5,0,1
"ID_104",3.26666666666667,0,2
"ID_106",3.33333333333333,0,0
"ID_106",3.7,0,1
"ID_106",3.63333333333333,0,2
"ID_107",3.4,0,0
"ID_107",3.83333333333333,0,1
"ID_107",2.9,0,2
"ID_2",2.56666666666667,1,0
"ID_2",2.16666666666667,1,1
"ID_2",2.56666666666667,1,2
"ID_3",2.13333333333333,1,0
"ID_3",3.16666666666667,1,1
"ID_3",2.86666666666667,1,2
"ID_5",3.63333333333333,1,0
"ID_5",4.6,1,1
"ID_5",3.73333333333333,1,2
"ID_6",4,1,0
"ID_6",3.83333333333333,1,1
"ID_6",3.36666666666667,1,2
"ID_9",3.13333333333333,1,0
"ID_9",NA,1,1
"ID_9",NA,1,2
"ID_13",3.1,1,0
"ID_13",NA,1,1
"ID_13",NA,1,2
"ID_14",2.86666666666667,1,0
"ID_14",2.76666666666667,1,1
"ID_14",3.06666666666667,1,2
"ID_15",3.43333333333333,1,0
"ID_15",4.26666666666667,1,1
"ID_15",4.6,1,2
"ID_17",4.06666666666667,1,0
"ID_17",4.23333333333333,1,1
"ID_17",4.5,1,2
"ID_18",3,1,0
"ID_18",NA,1,1
"ID_18",NA,1,2
"ID_21",3,1,0
"ID_21",2.9,1,1
"ID_21",3.23333333333333,1,2
"ID_23",2.96666666666667,1,0
"ID_23",NA,1,1
"ID_23",NA,1,2
"ID_24",2.7,1,0
"ID_24",2.2,1,1
"ID_24",1.66666666666667,1,2
"ID_26",3.53333333333333,1,0
"ID_26",4.36666666666667,1,1
"ID_26",4.7,1,2
"ID_27",1.83333333333333,1,0
"ID_27",NA,1,1
"ID_27",NA,1,2
"ID_34",2.76666666666667,1,0
"ID_34",4.63333333333333,1,1
"ID_34",4.03333333333333,1,2
"ID_36",2.56666666666667,1,0
"ID_36",3.53333333333333,1,1
"ID_36",3.33333333333333,1,2
"ID_38",1.73333333333333,1,0
"ID_38",2.23333333333333,1,1
"ID_38",2.13333333333333,1,2
"ID_40",2.7,1,0
"ID_40",3.3,1,1
"ID_40",3.36666666666667,1,2
"ID_41",NA,1,0
"ID_41",4.53333333333333,1,1
"ID_41",3.4,1,2
"ID_42",3.36666666666667,1,0
"ID_42",3.7,1,1
"ID_42",3.43333333333333,1,2
"ID_43",2.36666666666667,1,0
"ID_43",3.16666666666667,1,1
"ID_43",3.6,1,2
"ID_44",2.93333333333333,1,0
"ID_44",NA,1,1
"ID_44",NA,1,2
"ID_47",3.8,1,0
"ID_47",4.1,1,1
"ID_47",NA,1,2
"ID_49",3.36666666666667,1,0
"ID_49",4.23333333333333,1,1
"ID_49",4.06666666666667,1,2
"ID_52",2.43333333333333,1,0
"ID_52",3.2,1,1
"ID_52",3.56666666666667,1,2
"ID_54",2.5,1,0
"ID_54",2.73333333333333,1,1
"ID_54",3.03333333333333,1,2
"ID_55",3.26666666666667,1,0
"ID_55",3.7,1,1
"ID_55",2.9,1,2
"ID_57",2.73333333333333,1,0
"ID_57",2.9,1,1
"ID_57",2.76666666666667,1,2
"ID_58",2.4,1,0
"ID_58",2.63333333333333,1,1
"ID_58",2.63333333333333,1,2
"ID_60",2.13333333333333,1,0
"ID_60",2.4,1,1
"ID_60",1.9,1,2
"ID_61",2.4,1,0
"ID_61",3,1,1
"ID_61",2.6,1,2
"ID_64",3.43333333333333,1,0
"ID_64",3.16666666666667,1,1
"ID_64",2.73333333333333,1,2
"ID_68",2.83333333333333,1,0
"ID_68",3.13333333333333,1,1
"ID_68",3.1,1,2
"ID_70",2.13333333333333,1,0
"ID_70",NA,1,1
"ID_70",NA,1,2
"ID_71",3.53333333333333,1,0
"ID_71",3.86666666666667,1,1
"ID_71",3.8,1,2
"ID_72",2.5,1,0
"ID_72",4.13333333333333,1,1
"ID_72",3.93333333333333,1,2
"ID_77",3.5,1,0
"ID_77",NA,1,1
"ID_77",NA,1,2
"ID_78",1.83333333333333,1,0
"ID_78",3.96666666666667,1,1
"ID_78",4.06666666666667,1,2
"ID_79",3.66666666666667,1,0
"ID_79",4.43333333333333,1,1
"ID_79",4.26666666666667,1,2
"ID_80",2.4,1,0
"ID_80",3,1,1
"ID_80",2.8,1,2
"ID_81",3.23333333333333,1,0
"ID_81",3.9,1,1
"ID_81",4.5,1,2
"ID_83",3.73333333333333,1,0
"ID_83",4.53333333333333,1,1
"ID_83",4.6,1,2
"ID_87",2.7,1,0
"ID_87",3.53333333333333,1,1
"ID_87",3.3,1,2
"ID_88",2.66666666666667,1,0
"ID_88",3.3,1,1
"ID_88",3.66666666666667,1,2
"ID_89",2.63333333333333,1,0
"ID_89",4.26666666666667,1,1
"ID_89",3.9,1,2
"ID_91",1.26666666666667,1,0
"ID_91",2.36666666666667,1,1
"ID_91",2.66666666666667,1,2
"ID_92",3.4,1,0
"ID_92",3.53333333333333,1,1
"ID_92",3.66666666666667,1,2
"ID_98",2.8,1,0
"ID_98",2.83333333333333,1,1
"ID_98",3.26666666666667,1,2
"ID_99",1.86666666666667,1,0
"ID_99",3.13333333333333,1,1
"ID_99",2.7,1,2
"ID_102",2.5,1,0
"ID_102",2.43333333333333,1,1
"ID_102",1.96666666666667,1,2
"ID_105",2.96666666666667,1,0
"ID_105",3.86666666666667,1,1
"ID_105",NA,1,2
